,data_id,file_urls,files,liked,title,watched,dominant_color,palette,genre,year,country,director
3475,47813,['https://a.ltrbxd.com/resized/film-poster/4/7/8/1/3/47813-the-countess-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/4/7/8/1/3/47813-the-countess-0-150-0-225-crop.jpg', 'path': 'full/e613d87de170a039ed4a6c37c00a2b45ad892707.jpg', 'checksum': '7887cebeba9b3e15d2c977bd30af6d28'}]",88.0,The Countess,904.0,"(24, 20, 16)","[(217, 192, 169), (25, 20, 16), (102, 86, 74), (133, 132, 124), (124, 124, 124), (76, 76, 70)]","['history', 'horror', 'drama']",2009,USA,Julie Delpy
3478,38796,['https://a.ltrbxd.com/resized/film-poster/3/8/7/9/6/38796-the-killing-room-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/8/7/9/6/38796-the-killing-room-0-150-0-225-crop.jpg', 'path': 'full/16a395c65cca03a43cd88e22c4f3d8aa7b76a279.jpg', 'checksum': '8b8ffc0ccbcc1e36bd8f782c65ddcca3'}]",77.0,The Killing Room,1100.0,"(200, 194, 191)","[(26, 31, 37), (206, 202, 201), (124, 41, 41), (101, 108, 116), (114, 92, 76), (150, 115, 109)]","['drama', 'thriller']",2009,USA,Jonathan Liebesman
3480,66363,['https://a.ltrbxd.com/resized/film-poster/6/6/3/6/3/66363-the-revenant-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/6/6/3/6/3/66363-the-revenant-0-150-0-225-crop.jpg', 'path': 'full/76e075537085f98d39c170042418f90b6c0bcb3e.jpg', 'checksum': 'c3de20a925bdb19b3c4b30ab059e9758'}]",135.0,The Revenant,854.0,"(196, 133, 139)","[(197, 137, 142), (25, 33, 41), (125, 169, 196), (79, 102, 130), (97, 136, 173), (122, 48, 51)]","['horror', 'comedy']",2009,USA,D. Kerry Prior
3481,262158,['https://a.ltrbxd.com/resized/film-poster/2/6/2/1/5/8/262158-intruders-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/6/2/1/5/8/262158-intruders-0-150-0-225-crop.jpg', 'path': 'full/7d4957226e28c5528a31238e7c66ddbfee98630b.jpg', 'checksum': '49d46e2fa8776197042e83b6ffbbbb64'}]",202.0,Intruders,2100.0,"(30, 28, 26)","[(230, 227, 211), (29, 27, 25), (165, 67, 66), (138, 135, 127), (100, 108, 96), (156, 118, 98)]","['drama', 'horror', 'thriller']",2015,USA,Adam Schindler
3482,20443,['https://a.ltrbxd.com/resized/film-poster/2/0/4/4/3/20443-the-winning-season-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/0/4/4/3/20443-the-winning-season-0-150-0-225-crop.jpg', 'path': 'full/ea92ffeeb6b4018fa915170e2e3f804eed2dd12b.jpg', 'checksum': 'db69f77bfe132ae41ef9c75fd62b7180'}]",128.0,The Winning Season,1100.0,"(226, 162, 86)","[(225, 161, 85), (51, 88, 102), (187, 47, 18), (244, 232, 225), (224, 181, 142), (246, 212, 97)]","['comedy', 'drama']",2009,USA,Jim Strouse
3484,34332,['https://a.ltrbxd.com/resized/film-poster/3/4/3/3/2/34332-night-of-the-demons-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/4/3/3/2/34332-night-of-the-demons-0-150-0-225-crop.jpg', 'path': 'full/3eb6a01d278b728c15ff4dbb68eb22a88201f738.jpg', 'checksum': '1d853539d180f84bb7f5b14e20c753ce'}]",94.0,Night of the Demons,1100.0,"(14, 19, 24)","[(184, 108, 93), (13, 13, 19), (60, 161, 142), (100, 51, 56), (17, 86, 87), (63, 115, 121)]",['horror'],2009,USA,Adam Gierasch
3490,161753,['https://a.ltrbxd.com/resized/sm/upload/zj/rp/es/qb/5eY6CEVlbqshIOnMSd0TRAd0xbt-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/zj/rp/es/qb/5eY6CEVlbqshIOnMSd0TRAd0xbt-0-150-0-225-crop.jpg', 'path': 'full/8cfcc76826e351011eb0c8814277445776743e6e.jpg', 'checksum': 'c325f40dffd6dd63ba029d1ddd2b1381'}]",537.0,Aziz Ansari: Buried Alive,3200.0,"(201, 160, 117)","[(24, 24, 20), (203, 178, 131), (107, 89, 58), (127, 149, 84), (179, 41, 17), (132, 116, 124)]",['comedy'],2013,USA,Will Lovelace
3491,126249,['https://a.ltrbxd.com/resized/film-poster/1/2/6/2/4/9/126249-i-am-divine-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/2/6/2/4/9/126249-i-am-divine-0-150-0-225-crop.jpg', 'path': 'full/17b465a04c6b9f9a4df454028fd0fe1c35e8f3d6.jpg', 'checksum': '3dd575842767c19e8bdd8d1b277d29d3'}]",418.0,I Am Divine,2000.0,"(225, 192, 149)","[(76, 105, 105), (238, 215, 159), (137, 53, 48), (188, 125, 119), (237, 236, 210), (222, 180, 47)]",['documentary'],2013,USA,Jeffrey Schwarz
3493,82889,['https://a.ltrbxd.com/resized/film-poster/8/2/8/8/9/82889-hulk-vs-thor-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/8/2/8/8/9/82889-hulk-vs-thor-0-150-0-225-crop.jpg', 'path': 'full/8351f23b8659972f2585bc87575b6905d78ac7ee.jpg', 'checksum': '92ad496e00585a2021eecc36ef0dbf7c'}]",199.0,Hulk vs. Thor,1500.0,"(56, 50, 34)","[(219, 205, 154), (51, 39, 30), (102, 136, 193), (152, 116, 43), (161, 180, 102), (93, 126, 60)]","['science fiction', 'fantasy', 'action', 'animation']",2009,USA,Sam Liu
3496,128502,['https://a.ltrbxd.com/resized/film-poster/1/2/8/5/0/2/128502-free-birds-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/2/8/5/0/2/128502-free-birds-0-150-0-225-crop.jpg', 'path': 'full/0ffbbd09d6ce32c5ffb820117eb0623ad60938c1.jpg', 'checksum': 'b411dcda8ce4f1dd08e4ee860a0b97b7'}]",188.0,Free Birds,2800.0,"(217, 201, 184)","[(217, 201, 182), (28, 75, 89), (149, 50, 42), (154, 143, 35), (115, 148, 162), (46, 176, 227)]","['family', 'comedy', 'animation']",2013,USA,Jimmy Hayward
3500,126446,['https://a.ltrbxd.com/resized/film-poster/1/2/6/4/4/6/126446-in-secret-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/2/6/4/4/6/126446-in-secret-0-150-0-225-crop.jpg', 'path': 'full/4c8158b671695b9aed78f72a9b0eb1472195eebc.jpg', 'checksum': '8c33829f2b56242b38ff2aa4029f9ff5'}]",155.0,In Secret,1700.0,"(33, 32, 29)","[(214, 217, 209), (34, 32, 30), (99, 80, 59), (129, 122, 89), (124, 143, 128), (68, 92, 72)]","['crime', 'thriller', 'drama']",2013,USA,Charlie Stratton
